E462	R1	E1522
E431	R1	E2177
E624	R1	E2247
E1350	R1	E204
E576	R1	E2290
E181	R1	E1989
E702	R1	E1518
E719	R1	E1928
E657	R1	E2213
E912	R1	E2167
E518	R1	E1578
E393	R1	E2348
E61	R1	E1625
E719	R1	E1614
E347	R1	E1289
E2556	R1	E2641
E565	R1	E1823
E624	R1	E1079
E1416	R1	E1316
E122	R1	E2323
E722	R1	E2432
E596	R1	E1731
E1378	R1	E220
E2573	R1	E2368
E590	R1	E1871
E773	R1	E1686
E648	R1	E1330
E2574	R1	E1487
E741	R1	E1232
E1352	R1	E1745
E786	R2	E1044
E741	R1	E2129
E610	R1	E1825
E518	R1	E1726
E961	R1	E1528
E361	R1	E2045
E664	R1	E1303
E723	R1	E1283
E698	R1	E1838
E708	R1	E1734
E673	R1	E1418
E122	R1	E2037
E1378	R1	E1529
E414	R1	E1339
E729	R1	E2230
E588	R1	E1692
E688	R1	E2202
E518	R1	E2517
E695	R1	E1696
E2567	R1	E1406
E838	R1	E1238
E1942	R1	E2057
E441	R1	E2167
E999	R1	E2023
E722	R1	E1496
E568	R1	E1869
E1028	R1	E2421
E692	R1	E1390
E1781	R1	E2185
E714	R1	E1822
E67	R1	E2141
E708	R1	E2234
E579	R1	E1242
E868	R1	E1315
E1028	R1	E1511
E1352	R1	E1867
E773	R1	E2051
E278	R1	E2592
E609	R1	E2108
E1060	R1	E1915
E698	R1	E2364
E26	R1	E2141
E563	R1	E1696
E2420	R0	E2533
E962	R1	E224
E986	R1	E2185
E580	R1	E1544
E698	R1	E2195
E1366	R1	E1740
E610	R1	E1809
E1372	R1	E1665
E835	R1	E2155
E598	R1	E1972
E563	R1	E159
E507	R1	E2171
E305	R1	E1413
E566	R1	E1847
E986	R1	E2197
E773	R1	E1454
E354	R1	E2060
E506	R1	E2223
E722	R1	E1295
E621	R1	E1672
E1304	R1	E2417
E563	R1	E1698
E708	R1	E1745
E1004	R1	E1529
E576	R1	E2104
E567	R1	E1887
E911	R1	E2012
E585	R1	E2603
E2564	R1	E2044
E904	R1	E1622
E1004	R1	E2349
E340	R1	E1976
E939	R1	E2037
E922	R1	E2011
E2572	R1	E2247
E576	R1	E2275
E939	R1	E1569
E708	R1	E1860
E444	R1	E2467
E508	R1	E1488
E408	R1	E1751
E750	R1	E2029
E662	R1	E1464
E776	R1	E2139
E509	R1	E1510
E741	R1	E1822
E1028	R1	E1316
E912	R1	E2419
E1354	R1	E1234
E2556	R1	E1929
E740	R1	E2165
E130	R1	E1535
E396	R1	E1803
E1004	R1	E1802
E106	R1	E1968
E705	R1	E1048
E348	R1	E1399
E1028	R1	E1876
